2021-05-03 00:34:13,126 [    INFO] employer: A new worker Philip was hired
2021-05-03 00:34:14,142 [    INFO] philip: Package package_1121 successfully delivered
2021-05-03 00:34:14,142 [    INFO] amy: Package package_1123 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,142 [    INFO] hermes: Package package_1124 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,142 [    INFO] employer: Still 8881 packages to sent
2021-05-03 00:34:14,142 [    INFO] employer: Package package_1119 was delivered by Bender
2021-05-03 00:34:14,142 [    INFO] leela: Package package_1125 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,142 [    INFO] zoidberg: Delivering package package_1122
2021-05-03 00:34:14,142 [    INFO] employer: Package package_1121 was delivered by Philip
2021-05-03 00:34:14,142 [    INFO] amy: Delivering package package_1123
2021-05-03 00:34:14,142 [    INFO] hermes: Delivering package package_1124
2021-05-03 00:34:14,142 [    INFO] employer: Still 8879 packages to sent
2021-05-03 00:34:14,142 [    INFO] employer: Still 8879 packages to sent
2021-05-03 00:34:14,142 [    INFO] bender: Package package_1126 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,142 [    INFO] zoidberg: Package package_1122 successfully delivered
2021-05-03 00:34:14,142 [    INFO] philip: Package package_1127 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,150 [    INFO] philip: Delivering package package_1127
2021-05-03 00:34:14,142 [    INFO] hermes: Package package_1124 successfully delivered
2021-05-03 00:34:14,142 [    INFO] employer: Still 8879 packages to sent
2021-05-03 00:34:14,142 [    INFO] leela: Delivering package package_1125
2021-05-03 00:34:14,150 [    INFO] bender: Delivering package package_1126
2021-05-03 00:34:14,150 [    INFO] employer: Package package_1122 was delivered by Zoidberg
2021-05-03 00:34:14,142 [    INFO] amy: Package package_1123 successfully delivered
2021-05-03 00:34:14,150 [    INFO] philip: Package package_1127 successfully delivered
2021-05-03 00:34:14,150 [    INFO] employer: Package package_1124 was delivered by Hermes
2021-05-03 00:34:14,150 [    INFO] employer: Still 8877 packages to sent
2021-05-03 00:34:14,150 [    INFO] leela: Package package_1125 successfully delivered
2021-05-03 00:34:14,150 [    INFO] bender: Package package_1126 successfully delivered
2021-05-03 00:34:14,150 [    INFO] zoidberg: Package package_1128 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,150 [    INFO] employer: Package package_1123 was delivered by Amy
2021-05-03 00:34:14,150 [    INFO] employer: Package package_1127 was delivered by Philip
2021-05-03 00:34:14,150 [    INFO] hermes: Package package_1129 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,150 [    INFO] employer: Still 8875 packages to sent
2021-05-03 00:34:14,150 [    INFO] employer: Package package_1125 was delivered by Leela
2021-05-03 00:34:14,150 [    INFO] employer: Package package_1126 was delivered by Bender
2021-05-03 00:34:14,150 [    INFO] zoidberg: Delivering package package_1128
2021-05-03 00:34:14,150 [    INFO] amy: Package package_1130 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,150 [    INFO] philip: Package package_1131 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,150 [    INFO] hermes: Delivering package package_1129
2021-05-03 00:34:14,150 [    INFO] employer: Still 8873 packages to sent
2021-05-03 00:34:14,150 [    INFO] leela: Package package_1132 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,150 [    INFO] bender: Package package_1133 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,150 [    INFO] zoidberg: Package package_1128 successfully delivered
2021-05-03 00:34:14,150 [    INFO] amy: Delivering package package_1130
2021-05-03 00:34:14,150 [    INFO] philip: Delivering package package_1131
2021-05-03 00:34:14,150 [    INFO] hermes: Package package_1129 successfully delivered
2021-05-03 00:34:14,150 [    INFO] employer: Still 8873 packages to sent
2021-05-03 00:34:14,150 [    INFO] leela: Delivering package package_1132
2021-05-03 00:34:14,150 [    INFO] bender: Delivering package package_1133
2021-05-03 00:34:14,150 [    INFO] employer: Package package_1128 was delivered by Zoidberg
2021-05-03 00:34:14,150 [    INFO] amy: Package package_1130 successfully delivered
2021-05-03 00:34:14,150 [    INFO] philip: Package package_1131 successfully delivered
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1131 was delivered by Philip
2021-05-03 00:34:14,150 [    INFO] employer: Package package_1129 was delivered by Hermes
2021-05-03 00:34:14,150 [    INFO] leela: Package package_1132 successfully delivered
2021-05-03 00:34:14,150 [    INFO] bender: Package package_1133 successfully delivered
2021-05-03 00:34:14,150 [    INFO] zoidberg: Package package_1134 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1130 was delivered by Amy
2021-05-03 00:34:14,150 [    INFO] employer: Still 8871 packages to sent
2021-05-03 00:34:14,158 [    INFO] philip: Package package_1135 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,158 [    INFO] hermes: Package package_1136 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1132 was delivered by Leela
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1133 was delivered by Bender
2021-05-03 00:34:14,158 [    INFO] zoidberg: Delivering package package_1134
2021-05-03 00:34:14,158 [    INFO] amy: Package package_1137 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,158 [    INFO] employer: Still 8867 packages to sent
2021-05-03 00:34:14,158 [    INFO] philip: Delivering package package_1135
2021-05-03 00:34:14,158 [    INFO] hermes: Delivering package package_1136
2021-05-03 00:34:14,158 [    INFO] leela: Package package_1138 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,158 [    INFO] bender: Package package_1139 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,158 [    INFO] zoidberg: Package package_1134 successfully delivered
2021-05-03 00:34:14,158 [    INFO] amy: Delivering package package_1137
2021-05-03 00:34:14,158 [    INFO] employer: Still 8867 packages to sent
2021-05-03 00:34:14,158 [    INFO] philip: Package package_1135 successfully delivered
2021-05-03 00:34:14,158 [    INFO] hermes: Package package_1136 successfully delivered
2021-05-03 00:34:14,158 [    INFO] leela: Delivering package package_1138
2021-05-03 00:34:14,158 [    INFO] bender: Delivering package package_1139
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1134 was delivered by Zoidberg
2021-05-03 00:34:14,158 [    INFO] amy: Package package_1137 successfully delivered
2021-05-03 00:34:14,158 [    INFO] employer: Still 8866 packages to sent
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1135 was delivered by Philip
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1136 was delivered by Hermes
2021-05-03 00:34:14,158 [    INFO] leela: Package package_1138 successfully delivered
2021-05-03 00:34:14,158 [    INFO] bender: Package package_1139 successfully delivered
2021-05-03 00:34:14,158 [    INFO] zoidberg: Package package_1140 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1137 was delivered by Amy
2021-05-03 00:34:14,158 [    INFO] employer: Still 8863 packages to sent
2021-05-03 00:34:14,158 [    INFO] philip: Package package_1141 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,158 [    INFO] hermes: Package package_1142 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1138 was delivered by Leela
2021-05-03 00:34:14,158 [    INFO] employer: Package package_1139 was delivered by Bender
2021-05-03 00:34:14,158 [    INFO] zoidberg: Delivering package package_1140
2021-05-03 00:34:14,158 [    INFO] amy: Package package_1143 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,166 [    INFO] employer: Still 8861 packages to sent
2021-05-03 00:34:14,166 [    INFO] philip: Delivering package package_1141
2021-05-03 00:34:14,166 [    INFO] hermes: Delivering package package_1142
2021-05-03 00:34:14,166 [    INFO] leela: Package package_1144 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,166 [    INFO] bender: Package package_1145 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,166 [    INFO] zoidberg: Package package_1140 successfully delivered
2021-05-03 00:34:14,166 [    INFO] amy: Delivering package package_1143
2021-05-03 00:34:14,166 [    INFO] employer: Still 8861 packages to sent
2021-05-03 00:34:14,166 [    INFO] philip: Package package_1141 successfully delivered
2021-05-03 00:34:14,166 [    INFO] hermes: Package package_1142 successfully delivered
2021-05-03 00:34:14,166 [    INFO] leela: Delivering package package_1144
2021-05-03 00:34:14,166 [    INFO] bender: Delivering package package_1145
2021-05-03 00:34:14,166 [    INFO] employer: Package package_1140 was delivered by Zoidberg
2021-05-03 00:34:14,166 [    INFO] amy: Package package_1143 successfully delivered
2021-05-03 00:34:14,166 [    INFO] employer: Still 8860 packages to sent
2021-05-03 00:34:14,166 [    INFO] employer: Package package_1141 was delivered by Philip
2021-05-03 00:34:14,166 [    INFO] employer: Package package_1142 was delivered by Hermes
2021-05-03 00:34:14,166 [    INFO] leela: Package package_1144 successfully delivered
2021-05-03 00:34:14,166 [    INFO] bender: Package package_1145 successfully delivered
2021-05-03 00:34:14,166 [    INFO] zoidberg: Package package_1146 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,166 [    INFO] employer: Package package_1143 was delivered by Amy
2021-05-03 00:34:14,166 [    INFO] employer: Still 8857 packages to sent
2021-05-03 00:34:14,166 [    INFO] philip: Package package_1147 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,166 [    INFO] hermes: Package package_1148 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,166 [    INFO] employer: Package package_1144 was delivered by Leela
2021-05-03 00:34:14,166 [    INFO] employer: Package package_1145 was delivered by Bender
2021-05-03 00:34:14,166 [    INFO] zoidberg: Delivering package package_1146
2021-05-03 00:34:14,166 [    INFO] amy: Package package_1149 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,166 [    INFO] employer: Still 8855 packages to sent
2021-05-03 00:34:14,166 [    INFO] philip: Delivering package package_1147
2021-05-03 00:34:14,166 [    INFO] hermes: Delivering package package_1148
2021-05-03 00:34:14,166 [    INFO] leela: Package package_1150 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,166 [    INFO] bender: Package package_1151 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,166 [    INFO] zoidberg: Package package_1146 successfully delivered
2021-05-03 00:34:14,166 [    INFO] amy: Delivering package package_1149
2021-05-03 00:34:14,166 [    INFO] employer: Still 8855 packages to sent
2021-05-03 00:34:14,166 [    INFO] philip: Package package_1147 successfully delivered
2021-05-03 00:34:14,166 [    INFO] hermes: Package package_1148 successfully delivered
2021-05-03 00:34:14,174 [    INFO] leela: Delivering package package_1150
2021-05-03 00:34:14,174 [    INFO] bender: Delivering package package_1151
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1146 was delivered by Zoidberg
2021-05-03 00:34:14,174 [    INFO] amy: Package package_1149 successfully delivered
2021-05-03 00:34:14,174 [    INFO] employer: Still 8854 packages to sent
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1147 was delivered by Philip
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1148 was delivered by Hermes
2021-05-03 00:34:14,174 [    INFO] leela: Package package_1150 successfully delivered
2021-05-03 00:34:14,174 [    INFO] bender: Package package_1151 successfully delivered
2021-05-03 00:34:14,174 [    INFO] zoidberg: Package package_1152 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1149 was delivered by Amy
2021-05-03 00:34:14,174 [    INFO] employer: Still 8851 packages to sent
2021-05-03 00:34:14,174 [    INFO] philip: Package package_1153 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,174 [    INFO] hermes: Package package_1154 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1150 was delivered by Leela
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1151 was delivered by Bender
2021-05-03 00:34:14,174 [    INFO] zoidberg: Delivering package package_1152
2021-05-03 00:34:14,174 [    INFO] amy: Package package_1155 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,174 [    INFO] employer: Still 8849 packages to sent
2021-05-03 00:34:14,174 [    INFO] philip: Delivering package package_1153
2021-05-03 00:34:14,174 [    INFO] hermes: Delivering package package_1154
2021-05-03 00:34:14,174 [    INFO] leela: Package package_1156 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,174 [    INFO] bender: Package package_1157 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,174 [    INFO] zoidberg: Package package_1152 successfully delivered
2021-05-03 00:34:14,174 [    INFO] amy: Delivering package package_1155
2021-05-03 00:34:14,174 [    INFO] employer: Still 8849 packages to sent
2021-05-03 00:34:14,174 [    INFO] philip: Package package_1153 successfully delivered
2021-05-03 00:34:14,174 [    INFO] hermes: Package package_1154 successfully delivered
2021-05-03 00:34:14,174 [    INFO] leela: Delivering package package_1156
2021-05-03 00:34:14,174 [    INFO] bender: Delivering package package_1157
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1152 was delivered by Zoidberg
2021-05-03 00:34:14,174 [    INFO] amy: Package package_1155 successfully delivered
2021-05-03 00:34:14,174 [    INFO] employer: Still 8848 packages to sent
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1153 was delivered by Philip
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1154 was delivered by Hermes
2021-05-03 00:34:14,174 [    INFO] leela: Package package_1156 successfully delivered
2021-05-03 00:34:14,174 [    INFO] bender: Package package_1157 successfully delivered
2021-05-03 00:34:14,174 [    INFO] zoidberg: Package package_1158 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,174 [    INFO] employer: Package package_1155 was delivered by Amy
2021-05-03 00:34:14,174 [    INFO] employer: Still 8845 packages to sent
2021-05-03 00:34:14,174 [    INFO] philip: Package package_1159 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,182 [    INFO] hermes: Package package_1160 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,182 [    INFO] employer: Package package_1156 was delivered by Leela
2021-05-03 00:34:14,182 [    INFO] employer: Package package_1157 was delivered by Bender
2021-05-03 00:34:14,182 [    INFO] zoidberg: Delivering package package_1158
2021-05-03 00:34:14,182 [    INFO] amy: Package package_1161 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,182 [    INFO] employer: Still 8843 packages to sent
2021-05-03 00:34:14,182 [    INFO] philip: Delivering package package_1159
2021-05-03 00:34:14,182 [    INFO] hermes: Delivering package package_1160
2021-05-03 00:34:14,182 [    INFO] leela: Package package_1162 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,182 [    INFO] bender: Package package_1163 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,182 [    INFO] zoidberg: Package package_1158 successfully delivered
2021-05-03 00:34:14,182 [    INFO] amy: Delivering package package_1161
2021-05-03 00:34:14,182 [    INFO] employer: Still 8843 packages to sent
2021-05-03 00:34:14,182 [    INFO] philip: Package package_1159 successfully delivered
2021-05-03 00:34:14,182 [    INFO] hermes: Package package_1160 successfully delivered
2021-05-03 00:34:14,182 [    INFO] leela: Delivering package package_1162
2021-05-03 00:34:14,182 [    INFO] bender: Delivering package package_1163
2021-05-03 00:34:14,182 [    INFO] employer: Package package_1158 was delivered by Zoidberg
2021-05-03 00:34:14,182 [    INFO] amy: Package package_1161 successfully delivered
2021-05-03 00:34:14,182 [    INFO] employer: Still 8842 packages to sent
2021-05-03 00:34:14,182 [    INFO] employer: Package package_1159 was delivered by Philip
2021-05-03 00:34:14,182 [    INFO] employer: Package package_1160 was delivered by Hermes
2021-05-03 00:34:14,182 [    INFO] leela: Package package_1162 successfully delivered
2021-05-03 00:34:14,182 [    INFO] bender: Package package_1163 successfully delivered
2021-05-03 00:34:14,182 [    INFO] zoidberg: Package package_1164 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,182 [    INFO] employer: Package package_1161 was delivered by Amy
2021-05-03 00:34:14,182 [    INFO] employer: Still 8839 packages to sent
2021-05-03 00:34:14,182 [    INFO] philip: Package package_1165 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,182 [    INFO] hermes: Package package_1166 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,182 [    INFO] employer: Package package_1162 was delivered by Leela
2021-05-03 00:34:14,182 [    INFO] employer: Package package_1163 was delivered by Bender
2021-05-03 00:34:14,182 [    INFO] zoidberg: Delivering package package_1164
2021-05-03 00:34:14,182 [    INFO] amy: Package package_1167 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,182 [    INFO] employer: Still 8837 packages to sent
2021-05-03 00:34:14,182 [    INFO] philip: Delivering package package_1165
2021-05-03 00:34:14,182 [    INFO] hermes: Delivering package package_1166
2021-05-03 00:34:14,182 [    INFO] leela: Package package_1168 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,182 [    INFO] bender: Package package_1169 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,182 [    INFO] zoidberg: Package package_1164 successfully delivered
2021-05-03 00:34:14,182 [    INFO] amy: Delivering package package_1167
2021-05-03 00:34:14,182 [    INFO] employer: Still 8837 packages to sent
2021-05-03 00:34:14,190 [    INFO] philip: Package package_1165 successfully delivered
2021-05-03 00:34:14,190 [    INFO] hermes: Package package_1166 successfully delivered
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1166 was delivered by Hermes
2021-05-03 00:34:14,190 [    INFO] bender: Delivering package package_1169
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1164 was delivered by Zoidberg
2021-05-03 00:34:14,190 [    INFO] amy: Package package_1167 successfully delivered
2021-05-03 00:34:14,190 [    INFO] employer: Still 8836 packages to sent
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1165 was delivered by Philip
2021-05-03 00:34:14,190 [    INFO] leela: Delivering package package_1168
2021-05-03 00:34:14,190 [    INFO] hermes: Package package_1170 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,190 [    INFO] bender: Package package_1169 successfully delivered
2021-05-03 00:34:14,190 [    INFO] zoidberg: Package package_1171 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1167 was delivered by Amy
2021-05-03 00:34:14,190 [    INFO] employer: Still 8833 packages to sent
2021-05-03 00:34:14,190 [    INFO] philip: Package package_1172 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,190 [    INFO] leela: Package package_1168 successfully delivered
2021-05-03 00:34:14,190 [    INFO] hermes: Delivering package package_1170
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1169 was delivered by Bender
2021-05-03 00:34:14,190 [    INFO] zoidberg: Delivering package package_1171
2021-05-03 00:34:14,190 [    INFO] amy: Package package_1173 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,190 [    INFO] employer: Still 8832 packages to sent
2021-05-03 00:34:14,190 [    INFO] philip: Delivering package package_1172
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1168 was delivered by Leela
2021-05-03 00:34:14,190 [    INFO] hermes: Package package_1170 successfully delivered
2021-05-03 00:34:14,190 [    INFO] bender: Package package_1174 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,190 [    INFO] zoidberg: Package package_1171 successfully delivered
2021-05-03 00:34:14,190 [    INFO] amy: Delivering package package_1173
2021-05-03 00:34:14,190 [    INFO] employer: Still 8831 packages to sent
2021-05-03 00:34:14,190 [    INFO] philip: Package package_1172 successfully delivered
2021-05-03 00:34:14,190 [    INFO] leela: Package package_1175 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1170 was delivered by Hermes
2021-05-03 00:34:14,190 [    INFO] bender: Delivering package package_1174
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1171 was delivered by Zoidberg
2021-05-03 00:34:14,190 [    INFO] amy: Package package_1173 successfully delivered
2021-05-03 00:34:14,190 [    INFO] employer: Still 8829 packages to sent
2021-05-03 00:34:14,198 [    INFO] employer: Still 8827 packages to sent
2021-05-03 00:34:14,190 [    INFO] leela: Delivering package package_1175
2021-05-03 00:34:14,190 [    INFO] hermes: Package package_1176 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,190 [    INFO] bender: Package package_1174 successfully delivered
2021-05-03 00:34:14,190 [    INFO] zoidberg: Package package_1177 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1173 was delivered by Amy
2021-05-03 00:34:14,190 [    INFO] employer: Package package_1172 was delivered by Philip
2021-05-03 00:34:14,198 [    INFO] employer: Still 8827 packages to sent
2021-05-03 00:34:14,198 [    INFO] leela: Package package_1175 successfully delivered
2021-05-03 00:34:14,198 [    INFO] hermes: Delivering package package_1176
2021-05-03 00:34:14,198 [    INFO] employer: Package package_1174 was delivered by Bender
2021-05-03 00:34:14,198 [    INFO] zoidberg: Delivering package package_1177
2021-05-03 00:34:14,198 [    INFO] amy: Package package_1178 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,198 [    INFO] philip: Package package_1179 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,198 [    INFO] employer: Still 8826 packages to sent
2021-05-03 00:34:14,198 [    INFO] employer: Package package_1175 was delivered by Leela
2021-05-03 00:34:14,198 [    INFO] hermes: Package package_1176 successfully delivered
2021-05-03 00:34:14,198 [    INFO] bender: Package package_1180 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,198 [    INFO] zoidberg: Package package_1177 successfully delivered
2021-05-03 00:34:14,198 [    INFO] amy: Delivering package package_1178
2021-05-03 00:34:14,198 [    INFO] philip: Delivering package package_1179
2021-05-03 00:34:14,198 [    INFO] employer: Still 8825 packages to sent
2021-05-03 00:34:14,198 [    INFO] leela: Package package_1181 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,198 [    INFO] employer: Package package_1176 was delivered by Hermes
2021-05-03 00:34:14,198 [    INFO] bender: Delivering package package_1180
2021-05-03 00:34:14,198 [    INFO] employer: Package package_1177 was delivered by Zoidberg
2021-05-03 00:34:14,198 [    INFO] amy: Package package_1178 successfully delivered
2021-05-03 00:34:14,198 [    INFO] philip: Package package_1179 successfully delivered
2021-05-03 00:34:14,198 [    INFO] employer: Still 8823 packages to sent
2021-05-03 00:34:14,198 [    INFO] leela: Delivering package package_1181
2021-05-03 00:34:14,198 [    INFO] hermes: Package package_1182 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,198 [    INFO] bender: Package package_1180 successfully delivered
2021-05-03 00:34:14,198 [    INFO] zoidberg: Package package_1183 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,198 [    INFO] employer: Package package_1178 was delivered by Amy
2021-05-03 00:34:14,198 [    INFO] employer: Package package_1179 was delivered by Philip
2021-05-03 00:34:14,198 [    INFO] employer: Still 8821 packages to sent
2021-05-03 00:34:14,198 [    INFO] leela: Package package_1181 successfully delivered
2021-05-03 00:34:14,198 [    INFO] hermes: Delivering package package_1182
2021-05-03 00:34:14,198 [    INFO] employer: Package package_1180 was delivered by Bender
2021-05-03 00:34:14,198 [    INFO] zoidberg: Delivering package package_1183
2021-05-03 00:34:14,198 [    INFO] amy: Package package_1184 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,198 [    INFO] philip: Package package_1185 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,198 [    INFO] employer: Still 8820 packages to sent
2021-05-03 00:34:14,198 [    INFO] employer: Package package_1181 was delivered by Leela
2021-05-03 00:34:14,198 [    INFO] hermes: Package package_1182 successfully delivered
2021-05-03 00:34:14,198 [    INFO] bender: Package package_1186 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,198 [    INFO] zoidberg: Package package_1183 successfully delivered
2021-05-03 00:34:14,198 [    INFO] amy: Delivering package package_1184
2021-05-03 00:34:14,198 [    INFO] philip: Delivering package package_1185
2021-05-03 00:34:14,198 [    INFO] employer: Still 8819 packages to sent
2021-05-03 00:34:14,206 [    INFO] leela: Package package_1187 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1182 was delivered by Hermes
2021-05-03 00:34:14,206 [    INFO] bender: Delivering package package_1186
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1183 was delivered by Zoidberg
2021-05-03 00:34:14,206 [    INFO] amy: Package package_1184 successfully delivered
2021-05-03 00:34:14,206 [    INFO] philip: Package package_1185 successfully delivered
2021-05-03 00:34:14,206 [    INFO] employer: Still 8817 packages to sent
2021-05-03 00:34:14,206 [    INFO] leela: Delivering package package_1187
2021-05-03 00:34:14,206 [    INFO] hermes: Package package_1188 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,206 [    INFO] bender: Package package_1186 successfully delivered
2021-05-03 00:34:14,206 [    INFO] zoidberg: Package package_1189 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1184 was delivered by Amy
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1185 was delivered by Philip
2021-05-03 00:34:14,206 [    INFO] employer: Still 8815 packages to sent
2021-05-03 00:34:14,206 [    INFO] leela: Package package_1187 successfully delivered
2021-05-03 00:34:14,206 [    INFO] hermes: Delivering package package_1188
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1186 was delivered by Bender
2021-05-03 00:34:14,206 [    INFO] zoidberg: Delivering package package_1189
2021-05-03 00:34:14,206 [    INFO] amy: Package package_1190 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:14,206 [    INFO] philip: Package package_1191 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:14,206 [    INFO] employer: Still 8814 packages to sent
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1187 was delivered by Leela
2021-05-03 00:34:14,206 [    INFO] hermes: Package package_1188 successfully delivered
2021-05-03 00:34:14,206 [    INFO] bender: Package package_1192 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:14,206 [    INFO] zoidberg: Package package_1189 successfully delivered
2021-05-03 00:34:14,206 [    INFO] amy: Delivering package package_1190
2021-05-03 00:34:14,206 [    INFO] philip: Delivering package package_1191
2021-05-03 00:34:14,206 [    INFO] employer: Still 8813 packages to sent
2021-05-03 00:34:14,206 [    INFO] leela: Package package_1193 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1188 was delivered by Hermes
2021-05-03 00:34:14,206 [    INFO] bender: Delivering package package_1192
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1189 was delivered by Zoidberg
2021-05-03 00:34:14,206 [    INFO] amy: Package package_1190 successfully delivered
2021-05-03 00:34:14,206 [    INFO] philip: Package package_1191 successfully delivered
2021-05-03 00:34:14,206 [    INFO] employer: Still 8811 packages to sent
2021-05-03 00:34:14,206 [    INFO] leela: Delivering package package_1193
2021-05-03 00:34:14,206 [    INFO] hermes: Package package_1194 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:14,206 [    INFO] bender: Package package_1192 successfully delivered
2021-05-03 00:34:14,206 [    INFO] zoidberg: Package package_1195 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1190 was delivered by Amy
2021-05-03 00:34:14,206 [    INFO] employer: Package package_1191 was delivered by Philip
2021-05-03 00:34:14,206 [    INFO] employer: Still 8809 packages to sent
2021-05-03 00:34:14,206 [    INFO] leela: Package package_1193 successfully delivered
